"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVK","HOUSECOST","REAL","IDX2015","A","2019",124.601045000383,
"SVK","HOUSECOST","REAL","IDX2015","A","2020",133.552419627704,
"SVK","HOUSECOST","REAL","IDX2015","A","2021",137.73868665545,
"SVK","HOUSECOST","REAL","IDX2015","A","2022",139.629814571008,
"ESP","HOUSECOST","REAL","IDX2015","A","2019",119.631173813232,
"ESP","HOUSECOST","REAL","IDX2015","A","2020",122.232456574959,
"ESP","HOUSECOST","REAL","IDX2015","A","2021",123.895319853467,
"ESP","HOUSECOST","REAL","IDX2015","A","2022",124.873295196517,
"SWE","HOUSECOST","REAL","IDX2015","A","2019",109.158241482246,
"SWE","HOUSECOST","REAL","IDX2015","A","2020",112.72045421695,
"SWE","HOUSECOST","REAL","IDX2015","A","2021",121.934528076669,
"SWE","HOUSECOST","REAL","IDX2015","A","2022",118.161071011361,
"CHE","HOUSECOST","REAL","IDX2015","A","2019",108.892742233116,
"CHE","HOUSECOST","REAL","IDX2015","A","2020",114.069730904494,
"CHE","HOUSECOST","REAL","IDX2015","A","2021",121.662242909917,
"CHE","HOUSECOST","REAL","IDX2015","A","2022",127.65957883536,
"TUR","HOUSECOST","REAL","IDX2015","A","2019",91.21779823765,
"TUR","HOUSECOST","REAL","IDX2015","A","2020",99.0588258405403,
"TUR","HOUSECOST","REAL","IDX2015","A","2021",112.327929888105,
"TUR","HOUSECOST","REAL","IDX2015","A","2022",155.389912967188,
"GBR","HOUSECOST","REAL","IDX2015","A","2019",109.138679755358,
"GBR","HOUSECOST","REAL","IDX2015","A","2020",111.570253724447,
"GBR","HOUSECOST","REAL","IDX2015","A","2021",118.813310213227,
"GBR","HOUSECOST","REAL","IDX2015","A","2022",120.909888861794,
"USA","HOUSECOST","REAL","IDX2015","A","2019",117.442043398135,
"USA","HOUSECOST","REAL","IDX2015","A","2020",125.317228530357,
"USA","HOUSECOST","REAL","IDX2015","A","2021",140.327799853642,
"USA","HOUSECOST","REAL","IDX2015","A","2022",150.183144762602,
"BRA","HOUSECOST","REAL","IDX2015","A","2019",84.8458025596134,
"BRA","HOUSECOST","REAL","IDX2015","A","2020",81.611049889718,
"BRA","HOUSECOST","REAL","IDX2015","A","2021",73.8919482667594,
"BRA","HOUSECOST","REAL","IDX2015","A","2022",67.4281277717657,
"CHL","HOUSECOST","REAL","IDX2015","A","2019",125.009288296451,
"CHL","HOUSECOST","REAL","IDX2015","A","2020",126.696239208245,
"CHL","HOUSECOST","REAL","IDX2015","A","2021",135.916229322854,
"CHL","HOUSECOST","REAL","IDX2015","A","2022",132.441221605437,
"CHN","HOUSECOST","REAL","IDX2015","A","2019",128.316713638871,
"CHN","HOUSECOST","REAL","IDX2015","A","2020",129.74729462372,
"CHN","HOUSECOST","REAL","IDX2015","A","2021",133.564504941001,
"CHN","HOUSECOST","REAL","IDX2015","A","2022",132.233724490896,
"COL","HOUSECOST","REAL","IDX2015","A","2019",110.099467871136,
"COL","HOUSECOST","REAL","IDX2015","A","2020",110.561913335128,
"COL","HOUSECOST","REAL","IDX2015","A","2021",109.69785855869,
"COL","HOUSECOST","REAL","IDX2015","A","2022",106.363139360422,
"EST","HOUSECOST","REAL","IDX2015","A","2019",111.506302045737,
"EST","HOUSECOST","REAL","IDX2015","A","2020",119.279717463977,
"EST","HOUSECOST","REAL","IDX2015","A","2021",131.914602137947,
"EST","HOUSECOST","REAL","IDX2015","A","2022",138.037566788991,
"IND","HOUSECOST","REAL","IDX2015","A","2019",108.518287678702,
"IND","HOUSECOST","REAL","IDX2015","A","2020",106.575903942542,
"IND","HOUSECOST","REAL","IDX2015","A","2021",103.63663330366,
"IND","HOUSECOST","REAL","IDX2015","A","2022",99.0380099595222,
"IDN","HOUSECOST","REAL","IDX2015","A","2019",98.5194514143125,
"IDN","HOUSECOST","REAL","IDX2015","A","2020",98.113948494962,
"IDN","HOUSECOST","REAL","IDX2015","A","2021",97.8413749083301,
"ISR","HOUSECOST","REAL","IDX2015","A","2019",111.885000655511,
"ISR","HOUSECOST","REAL","IDX2015","A","2020",115.759676827451,
"ISR","HOUSECOST","REAL","IDX2015","A","2021",123.860915830618,
"ISR","HOUSECOST","REAL","IDX2015","A","2022",139.463197060145,
"LVA","HOUSECOST","REAL","IDX2015","A","2019",126.694191684941,
"LVA","HOUSECOST","REAL","IDX2015","A","2020",131.252141697759,
"LVA","HOUSECOST","REAL","IDX2015","A","2021",140.754108712723,
"LVA","HOUSECOST","REAL","IDX2015","A","2022",139.650176110328,
"LTU","HOUSECOST","REAL","IDX2015","A","2019",120.027771902749,
"LTU","HOUSECOST","REAL","IDX2015","A","2020",127.208121249338,
"LTU","HOUSECOST","REAL","IDX2015","A","2021",141.098904444787,
"LTU","HOUSECOST","REAL","IDX2015","A","2022",141.66800388031,
"RUS","HOUSECOST","REAL","IDX2015","A","2019",101.230487679672,
"RUS","HOUSECOST","REAL","IDX2015","A","2020",117.043913424594,
"RUS","HOUSECOST","REAL","IDX2015","A","2021",130.113932635432,
"RUS","HOUSECOST","REAL","IDX2015","A","2022",148.240220683868,
"SVN","HOUSECOST","REAL","IDX2015","A","2019",124.066220035375,
"SVN","HOUSECOST","REAL","IDX2015","A","2020",130.370322398853,
"SVN","HOUSECOST","REAL","IDX2015","A","2021",140.90261318506,
"SVN","HOUSECOST","REAL","IDX2015","A","2022",147.013306578715,
"ZAF","HOUSECOST","REAL","IDX2015","A","2019",98.8170049575973,
"ZAF","HOUSECOST","REAL","IDX2015","A","2020",98.4538474209484,
"ZAF","HOUSECOST","REAL","IDX2015","A","2021",98.4485661996945,
"ZAF","HOUSECOST","REAL","IDX2015","A","2022",95.2836737389639,
"EA","HOUSECOST","REAL","IDX2015","A","2019",113.584175902085,
"EA","HOUSECOST","REAL","IDX2015","A","2020",118.79734450744,
"EA","HOUSECOST","REAL","IDX2015","A","2021",125.379740309056,
"EA","HOUSECOST","REAL","IDX2015","A","2022",125.918897113628,
"EA17","HOUSECOST","REAL","IDX2015","A","2019",113.358490720129,
"EA17","HOUSECOST","REAL","IDX2015","A","2020",118.631285642868,
"EA17","HOUSECOST","REAL","IDX2015","A","2021",125.256910022195,
"EA17","HOUSECOST","REAL","IDX2015","A","2022",125.638655652186,
"OECD","HOUSECOST","REAL","IDX2015","A","2019",112.862298509789,
"OECD","HOUSECOST","REAL","IDX2015","A","2020",118.133521177986,
"OECD","HOUSECOST","REAL","IDX2015","A","2021",128.117971815784,
"OECD","HOUSECOST","REAL","IDX2015","A","2022",133.81795746562,
"BGR","HOUSECOST","REAL","IDX2015","A","2019",118.279605505888,
"BGR","HOUSECOST","REAL","IDX2015","A","2020",124.704510711774,
"BGR","HOUSECOST","REAL","IDX2015","A","2021",127.533582872521,
"BGR","HOUSECOST","REAL","IDX2015","A","2022",125.326741582352,
"ROU","HOUSECOST","REAL","IDX2015","A","2019",108.464279994514,
"ROU","HOUSECOST","REAL","IDX2015","A","2020",110.950372627733,
"ROU","HOUSECOST","REAL","IDX2015","A","2021",110.773721689167,
"ROU","HOUSECOST","REAL","IDX2015","A","2022",103.920120560396,
"SAU","HOUSECOST","REAL","IDX2015","A","2019",79.0966522813707,
"SAU","HOUSECOST","REAL","IDX2015","A","2020",76.9470208982676,
"SAU","HOUSECOST","REAL","IDX2015","A","2021",74.8780764406397,
"SAU","HOUSECOST","REAL","IDX2015","A","2022",74.7382307454648,
"HRV","HOUSECOST","REAL","IDX2015","A","2019",118.365261505173,
"HRV","HOUSECOST","REAL","IDX2015","A","2020",126.738968542874,
"HRV","HOUSECOST","REAL","IDX2015","A","2021",132.918837096124,
"HRV","HOUSECOST","REAL","IDX2015","A","2022",137.168727589582,
